PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks,recomendacao_ivoire,categoria_ivoire,severidade_ivoire
21,https://www.aviva.com.br/blog/o-toldo-do-bosque-apresenta-diversao-para-toda-a-familia,O Toldo do Bosque apresenta: diversão para toda a família,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/o-toldo-do-bosque-apresenta-diversao-para-toda-a-familia,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://www.aviva.com.br/blog/5-atividades-para-comemorar-o-dia-do-esportista,5 atividades para comemorar o Dia do Esportista,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/5-atividades-para-comemorar-o-dia-do-esportista,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://www.aviva.com.br/blog/casamento-em-hotel-conheca-as-vantagens-e-saiba-como-funciona,Casamento em hotel: conheça as vantagens e saiba como funciona,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/casamento-em-hotel-conheca-as-vantagens-e-saiba-como-funciona,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://aviva.com.br/experiencias,Conheça Experiências incríveis | Aviva,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/experiencias,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://aviva.com.br/hot-park-rio-quente,Hot Park Rio Quente - O Maior Parque de Águas Quentes,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/hot-park-rio-quente,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://aviva.com.br/fale-conosco,Fale Conosco | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/fale-conosco,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://www.aviva.com.br/blog/vantagens-de-curtir-as-ferias-em-outubro-no-rio-quente,Vantagens de curtir as férias em outubro no Rio Quente,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/vantagens-de-curtir-as-ferias-em-outubro-no-rio-quente,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://aviva.com.br/faca-seu-evento,Faça seu Evento na Aviva,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/faca-seu-evento,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://aviva.com.br/politica-de-privacidade,Política de Privacidade,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/politica-de-privacidade,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://www.aviva.com.br/blog/voce-sabe-quais-sao-as-melhores-brincadeiras-de-sao-joao,Você sabe quais são as melhores brincadeiras de São João?,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/voce-sabe-quais-sao-as-melhores-brincadeiras-de-sao-joao,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://aviva.com.br/termos-de-uso,Termos de Uso,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/termos-de-uso,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://www.aviva.com.br/blog/confira-5-dicas-de-como-aprender-a-surfar,Confira 5 dicas de como aprender a surfar,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/confira-5-dicas-de-como-aprender-a-surfar,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://aviva.com.br/pacotes,Pacotes de viagem | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/pacotes,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://www.aviva.com.br/blog/conheca-as-vantagens-de-realizar-seu-evento-corporativo-no-rio-quente-resorts,Conheça as vantagens de realizar seu evento corporativo no Rio Quente Resorts,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/conheca-as-vantagens-de-realizar-seu-evento-corporativo-no-rio-quente-resorts,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
21,https://aviva.com.br/hot-park-costa-do-sauipe,Hot Park Costa do Sauípe Vem Aí,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/hot-park-costa-do-sauipe,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/estancia-termal-conheca-as-cinco-melhores-do-pais,Estância termal: conheça as cinco melhores do país,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/estancia-termal-conheca-as-cinco-melhores-do-pais,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/reveillon-na-costa-do-sauipe-celebre-o-ano-novo-com-o-pe-direito,Réveillon na Costa do Sauípe: celebre o ano novo com o pé direito,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/reveillon-na-costa-do-sauipe-celebre-o-ano-novo-com-o-pe-direito,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/patrimonios-culturais-do-estado-de-goias,Patrimônios culturais do estado de Goiás,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/patrimonios-culturais-do-estado-de-goias,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/como-nadar-na-piscina-e-garantir-a-seguranca-de-toda-familia,Como nadar na piscina e garantir a segurança de toda família,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/como-nadar-na-piscina-e-garantir-a-seguranca-de-toda-familia,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/programacao-costa-do-sauipe-para-julho-diversao-para-a-criancada,Programação Costa do Sauípe para julho: diversão para a criançada,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/programacao-costa-do-sauipe-para-julho-diversao-para-a-criancada,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/verao-antecipado-na-costa-do-sauipe-prepare-se-para-a-alta-temporada,Verão Antecipado na Costa do Sauípe: Prepare-se para a Alta Temporada,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/verao-antecipado-na-costa-do-sauipe-prepare-se-para-a-alta-temporada,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/passeio-de-buggy-como-se-divertir-no-litoral-norte-da-bahia,Passeio de buggy: como se divertir no litoral norte da Bahia?,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/passeio-de-buggy-como-se-divertir-no-litoral-norte-da-bahia,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/slackline-descubra-tudo-sobre-o-esporte-de-equilibrio,Slackline: descubra tudo sobre o esporte de equilíbrio,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/slackline-descubra-tudo-sobre-o-esporte-de-equilibrio,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/mala-de-mao-confira-o-que-pode-ou-nao-levar-e-dicas-sobre-como-organiza-la,Mala de mão: confira o que pode ou não levar e dicas sobre como organizá-la,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/mala-de-mao-confira-o-que-pode-ou-nao-levar-e-dicas-sobre-como-organiza-la,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/viajar-no-feriado-descubra-como-se-planejar,Viajar no feriado: descubra como se planejar,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/viajar-no-feriado-descubra-como-se-planejar,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/como-arrumar-a-mala-infantil-o-que-nao-deixar-de-levar,Como arrumar a mala infantil: o que não deixar de levar?,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/como-arrumar-a-mala-infantil-o-que-nao-deixar-de-levar,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/festa-de-casamento-na-praia-5-dicas-para-a-cerimonia-perfeita,Festa de casamento na praia: 5 dicas para a cerimônia perfeita,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/festa-de-casamento-na-praia-5-dicas-para-a-cerimonia-perfeita,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/nao-sabe-como-alugar-um-carro-confira-as-principais-dicas,Não sabe como alugar um carro? Confira as principais dicas,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/nao-sabe-como-alugar-um-carro-confira-as-principais-dicas,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/morro-do-pai-inacio,Visite o Morro do Pai Inácio: mais um dos encantos da Chapada Diamantina,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/morro-do-pai-inacio,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/o-que-fazer-em-rio-quente,O que fazer em Rio Quente,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/o-que-fazer-em-rio-quente,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/experiencias/coreto,Coreto | Aviva Oficial,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/experiencias/coreto,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/frutas-da-bahia-fazem-sucesso-em-solo-nacional-e-internacional,Frutas da Bahia fazem sucesso em solo nacional e internacional,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/frutas-da-bahia-fazem-sucesso-em-solo-nacional-e-internacional,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/cuiaba-a-caldas-novas-melhores-trajetos-e-como-chegar,Cuiabá a Caldas Novas: melhores trajetos e como chegar,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/cuiaba-a-caldas-novas-melhores-trajetos-e-como-chegar,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/lugares-para-viajar-no-inverno-na-bahia,Conheça lugares para viajar no inverno e fugir da rotina na Bahia,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/lugares-para-viajar-no-inverno-na-bahia,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/ala-mar-costa-do-sauipe-mergulhe-neste-paraiso,Ala Mar Costa do Sauípe: mergulhe neste paraíso,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/ala-mar-costa-do-sauipe-mergulhe-neste-paraiso,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/confira-6-dicas-para-organizar-a-bagagem-de-mao-de-ate-10-kg,Confira 6 dicas para organizar a bagagem de mão de até 10 kg,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/confira-6-dicas-para-organizar-a-bagagem-de-mao-de-ate-10-kg,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/dicas-da-sol,Dicas da Sol,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/dicas-da-sol,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/cultura-da-bahia-saiba-mais-sobre-os-costumes-da-regiao,Cultura da Bahia: saiba mais sobre os costumes da região,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/cultura-da-bahia-saiba-mais-sobre-os-costumes-da-regiao,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/classe-economica-vantagens-e-desvantagens-da-categoria,Classe econômica: vantagens e desvantagens da categoria,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/classe-economica-vantagens-e-desvantagens-da-categoria,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/experiencias/praias,Praias Costa do Sauípe | Aviva Oficial | Praia,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/experiencias/praias,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
20,https://www.aviva.com.br/blog/mercado-modelo,Mercado Modelo: um pedacinho da Bahia de verdade em frente à Baía de Todos os Santos,text/html;charset=utf-8,true,200,0,true,http://prd-av-webal-f4demeypmhqk-1012653876.sa-east-1.elb.amazonaws.com/blog/mercado-modelo,,,,,,1) Auditar todas as paginas que declaram hreflang.,Hreflang,Alta
